size	correct	NineToothed(ms)	PyTorch(ms)
262144	PASS	0.0308		0.0280
524288	PASS	0.0357		0.0350
1048576	PASS	0.0394		0.0370
2097152	PASS	0.0459		0.0412
4194304	PASS	0.0582		0.0551
8388608	PASS	0.0818		0.0664
16777216	PASS	0.1277		0.0991
33554432	PASS	0.2207		0.1647
67108864	PASS	0.4063		0.2978
134217728	PASS	0.7676		0.5619
